role,player_id,player_name,challenge_team_abbr,missed_opportunities,missed_xwpa,missed_xwpa_per_opportunity,missed_wpa_if_overturned,avg_missed_overturn_probability,avg_zone_distance_inches,missed_batting_xwpa,missed_fielding_xwpa
pitcher,650633,Michael King,SD,18,0.2908131164716335,0.016156284248424083,0.7004619477600611,0.6037116149695056,1.1523721746608377,0,0.2908131164716335
pitcher,682120,Tim Herrin,CLE,9,0.2679343149136351,0.029770479434848347,0.545174891656631,0.5424194907479386,0.9395132818381376,0,0.2679343149136351
hitter,608701,Rob Refsnyder,SEA,11,0.21665474934381457,0.019695886303983143,0.4344032861198163,0.693292258978627,1.6352470452268726,0.21665474934381457,0
pitcher,671096,Andrew Abbott,CIN,19,0.20001993486546824,0.010527364992919381,0.4703116071925535,0.642649762273303,1.2682434313636473,0,0.20001993486546824
hitter,690976,Alex Freeland,LAD,8,0.1993631031487701,0.02492038789359626,0.25562585711272023,0.8662580645025174,2.3222600510511886,0.1993631031487701,0
pitcher,605280,Clay Holmes,NYM,8,0.19657762539298043,0.024572203174122554,0.3391179280166001,0.6862291127279109,1.5560913159928245,0,0.19657762539298043
pitcher,663574,Tony Santillan,CIN,8,0.18993660968241402,0.023742076210301753,0.3581952045837016,0.6215458725359391,1.1859945449128568,0,0.18993660968241402
pitcher,642397,Gregory Soto,PIT,3,0.18990361932410646,0.06330120644136882,0.4062841986453476,0.5479090266923028,0.9325870471760376,0,0.18990361932410646
pitcher,690997,Nolan McLean,NYM,17,0.18832400224205278,0.011077882484826634,0.40245354637882835,0.6935486198352498,1.5259539580604622,0,0.18832400224205278
hitter,680574,Matt McLain,CIN,15,0.18650694454605585,0.01243379630307039,0.3121296251862645,0.7842605645407218,1.8909869194002304,0.18650694454605585,0
pitcher,663687,Hogan Harris,ATH,9,0.18385701117413442,0.020428556797126046,0.5213644435204479,0.5244119160627541,0.8912401281932993,0,0.18385701117413442
pitcher,607625,Seth Lugo,KC,16,0.18233504373696346,0.011395940233560217,0.36679115923084865,0.6747674671469416,1.3827894430381527,0,0.18233504373696346
hitter,672960,Kazuma Okamoto,TOR,15,0.17622855340258978,0.011748570226839318,0.3575409232745415,0.655444545733421,1.3260261031737164,0.17622855340258978,0
hitter,624413,Pete Alonso,BAL,13,0.17206460898964868,0.013235739153049899,0.4267455079202423,0.6419447716295401,1.243218581608339,0.17206460898964868,0
pitcher,690986,Kyle Harrison,MIL,16,0.1621208976107233,0.010132556100670206,0.2982017359731949,0.7094166649777968,1.5292470864677357,0,0.1621208976107233
hitter,694497,Evan Carter,TEX,8,0.16204071250295887,0.02025508906286986,0.373539565930038,0.5295608818421095,0.8512179842073944,0.16204071250295887,0
hitter,691026,Masyn Winn,STL,19,0.16187534057727823,0.00851975476722517,0.3281545072730976,0.7136385148931406,1.628507963421771,0.16187534057727823,0
pitcher,696136,Jordan Wicks,CHC,2,0.15945373395504145,0.07972686697752072,0.18911834479826262,0.7812563619814301,1.7974625013765069,0,0.15945373395504145
hitter,666018,Jonathan Aranda,TB,12,0.1590131008369851,0.013251091736415426,0.4101889688909263,0.5945524773139769,1.1216939472088783,0.1590131008369851,0
pitcher,656641,Jacob Latz,TEX,6,0.15877314547631513,0.02646219091271919,0.46946170915738383,0.47124760447623754,0.6601737695128858,0,0.15877314547631513
hitter,668715,Spencer Steer,CIN,10,0.15804483067089756,0.015804483067089755,0.24175984528687341,0.7389466240507866,1.9754751722298693,0.15804483067089756,0
pitcher,667755,José Soriano,LAA,17,0.15759704218998333,0.009270414246469608,0.3995211780128636,0.6966117060865689,1.4497647799783342,0,0.15759704218998333
pitcher,593958,Eduardo Rodriguez,AZ,16,0.15218172305912642,0.009511357691195401,0.4258107239264721,0.5992733546666716,1.0876322317647245,0,0.15218172305912642
hitter,680757,Steven Kwan,CLE,15,0.1501614669885773,0.010010764465905153,0.3773011103662137,0.6841507520231163,1.5770919814331676,0.1501614669885773,0
pitcher,694973,Paul Skenes,PIT,13,0.1490103524446853,0.011462334803437332,0.3909520391413528,0.6239566166887436,1.2418640564210652,0,0.1490103524446853
pitcher,650911,Cristopher Sánchez,PHI,13,0.14810056281910805,0.011392350986085235,0.34600159982228346,0.6138069185152684,1.2348191510015432,0,0.14810056281910805
pitcher,669923,George Kirby,SEA,14,0.14730050510645676,0.010521464650461197,0.38274182236352183,0.6175572507309725,1.1747693610716528,0,0.14730050510645676
pitcher,668909,Gavin Williams,CLE,13,0.14704462451070302,0.01131112496236177,0.25713328080012643,0.7528123546110819,1.7444637407998895,0,0.14704462451070302
pitcher,680736,Justin Wrobleski,LAD,19,0.14503606561347723,0.007633477137551433,0.3117234530318549,0.6975805024250997,1.5127381181998647,0,0.14503606561347723
hitter,621493,Taylor Ward,BAL,15,0.14086571035882528,0.009391047357255019,0.3126718091267332,0.7252968552267861,1.7819512386136827,0.14086571035882528,0
hitter,686217,Sal Frelick,MIL,12,0.14021295314823196,0.011684412762352664,0.28273161404197644,0.6787985967310498,1.4248499075783314,0.14021295314823196,0
pitcher,608379,Michael Wacha,KC,13,0.1369585990934492,0.010535276853342247,0.311209071896371,0.672556234825061,1.4771619260471882,0,0.1369585990934492
hitter,643289,Mauricio Dubón,ATL,8,0.13602231127031855,0.01700278890878982,0.20897875857795656,0.7667655774594123,1.8795200626385364,0.13602231127031855,0
hitter,666969,Adolis García,PHI,5,0.13577482470500893,0.027154964941001787,0.19384788419965493,0.7466759681319767,1.7444530536568716,0.13577482470500893,0
pitcher,669022,MacKenzie Gore,TEX,11,0.13528035119605575,0.012298213745095977,0.39799733352549094,0.5559859614626381,0.983086974603939,0,0.13528035119605575
pitcher,693821,Bryce Elder,ATL,14,0.1352442301976233,0.009660302156973093,0.2788858229261741,0.713099498418415,1.6527661432951501,0,0.1352442301976233
pitcher,700712,Walbert Ureña,LAA,14,0.13385193939077028,0.009560852813626449,0.2848588878180133,0.6849524342873414,1.448694880011789,0,0.13385193939077028
pitcher,689147,Orion Kerkering,PHI,4,0.13093775949795816,0.03273443987448954,0.2699667219275479,0.6111470707085078,1.1471110772453157,0,0.13093775949795816
pitcher,686580,Justin Slaten,BOS,6,0.12912741513711468,0.021521235856185778,0.24969528930235252,0.5963462477256144,1.068255116447029,0,0.12912741513711468
pitcher,607536,Kyle Freeland,COL,12,0.12784522635638518,0.010653768863032098,0.3051346895327815,0.6665693593121551,1.3521639505945202,0,0.12784522635638518
pitcher,671922,Cade Smith,CLE,7,0.1275540971875045,0.018222013883929213,0.3763216678443232,0.6667275031644845,1.5617588753610825,0,0.1275540971875045
hitter,690924,Braxton Fulford,COL,7,0.12674483075330026,0.01810640439332861,0.1876548345294252,0.777792399360456,1.7851703230729126,0.12674483075330026,0
pitcher,672282,Reid Detmers,LAA,22,0.12637132570728996,0.005744151168513179,0.38270888133307024,0.6681802847640625,1.4441571180409218,0,0.12637132570728996
hitter,702616,Jackson Holliday,BAL,6,0.12600843181171653,0.021001405301952755,0.17757438684863874,0.7759746852098833,2.06681491940531,0.12600843181171653,0
pitcher,669461,Matthew Liberatore,STL,10,0.12502343698431423,0.012502343698431423,0.26376648330392044,0.6851726412747032,1.3721860549386857,0,0.12502343698431423
