challenge_team_id,challenge_team_abbr,challenge_team_name,attempts,overturns,confirms,overturn_rate,direct_wpa,option_wpa_proxy,total_xwpa,risk_adjusted_xwpa,xwpa_per_challenge,risk_adjusted_per_challenge,wpa_if_overturned,savant_challenge_runs,strikeout_flips,walk_flips,exhausting_fails,batting_xwpa,fielding_xwpa
115,COL,Colorado Rockies,85,46,39,0.5411764705882353,1.056991888485962,-0.8814000000000001,1.056991888485962,0.1755918884859618,0.01243519868807014,0.0020657869233642566,1.9375202932712414,1.4232238803409194,18,7,11,0.3525153635353582,0.7044765249506036
145,CWS,Chicago White Sox,80,36,44,0.45,1.0018086119675371,-0.9944000000000001,1.0018086119675371,0.007408611967537001,0.012522607649594213,9.260764959421252e-05,2.114980432326799,-1.3553333012634172,7,5,16,0.33851453197690234,0.6632940799906347
108,LAA,Los Angeles Angels,77,42,35,0.5454545454545454,0.8929481709732683,-0.791,0.8929481709732683,0.10194817097326822,0.011596729493159328,0.001324002220432055,1.6822058432819382,1.4148969549946884,10,8,10,0.38197217775884973,0.5109759932144186
133,ATH,Athletics,72,41,31,0.5694444444444444,0.8206307585261194,-0.7006000000000001,0.8206307585261194,0.12003075852611934,0.011397649423973881,0.0016670938684183241,1.4334348468922908,1.3400613585648884,12,7,10,0.2780351632407451,0.5425955952853743
142,MIN,Minnesota Twins,90,48,42,0.5333333333333333,0.8170090697237148,-0.9492,0.8170090697237148,-0.1321909302762853,0.00907787855248572,-0.0014687881141809479,1.7155126498294078,-0.21175344651458955,18,6,15,0.2680905251777224,0.5489185445459923
136,SEA,Seattle Mariners,70,41,29,0.5857142857142857,0.8168379317542082,-0.6554000000000001,0.8168379317542082,0.16143793175420812,0.011669113310774403,0.0023062561679172587,1.5584577286356163,1.7605311852152188,13,5,8,0.3401013381198145,0.4767365936343937
110,BAL,Baltimore Orioles,61,31,30,0.5081967213114754,0.7767308376277894,-0.678,0.7767308376277894,0.09873083762778928,0.012733292420127695,0.0016185383217670374,1.40848825992809,0.6818626307754154,11,7,9,0.43130175070505494,0.3454290869227344
135,SD,San Diego Padres,62,38,24,0.6129032258064516,0.7754062872485625,-0.5424,0.7754062872485625,0.23300628724856248,0.012506553020138105,0.003758165923363911,1.2668524881354684,1.3888882205017583,11,2,5,0.2631685471954833,0.5122377400530792
138,STL,St. Louis Cardinals,59,35,24,0.5932203389830508,0.7124182297391218,-0.5424,0.7124182297391218,0.17001822973912184,0.012074885249815624,0.0028816649108325734,1.3107795346285687,2.361425474611725,10,8,5,0.2365427108126824,0.4758755189264395
143,PHI,Philadelphia Phillies,56,30,26,0.5357142857142857,0.6836460589412046,-0.5876,0.6836460589412046,0.09604605894120456,0.012207965338235796,0.0017151081953786528,1.2318521724668956,2.0540997198261257,7,9,4,0.25242531338647733,0.4312207455547273
146,MIA,Miami Marlins,81,43,38,0.5308641975308642,0.6623694039289646,-0.8588000000000001,0.6623694039289646,-0.19643059607103544,0.008177400048505735,-0.002425069087296734,1.6259060515941883,-1.8720250708369077,6,3,13,0.16577176684557504,0.49659763708338955
114,CLE,Cleveland Guardians,60,26,34,0.43333333333333335,0.659101408779192,-0.7684000000000001,0.659101408779192,-0.10929859122080803,0.010985023479653199,-0.0018216431870134672,1.3705157336555756,-2.233872053000956,11,4,8,0.2646106282828398,0.3944907804963522
144,ATL,Atlanta Braves,73,35,38,0.4794520547945205,0.6331641179783923,-0.8588000000000001,0.6331641179783923,-0.2256358820216077,0.008673481068197155,-0.0030909024934466806,1.4142223562478162,-1.6612551958018846,14,8,13,0.36325572611971646,0.2699083918586759
141,TOR,Toronto Blue Jays,67,36,31,0.5373134328358209,0.6214825696819861,-0.7006000000000001,0.6214825696819861,-0.07911743031801394,0.009275859248984867,-0.0011808571689255812,1.086348402513779,-1.4062711229426554,11,3,11,0.30098111992333165,0.32050144975865447
118,KC,Kansas City Royals,63,38,25,0.6031746031746031,0.6125740854142804,-0.5650000000000001,0.6125740854142804,0.04757408541428031,0.009723398181179054,0.0007551442129250843,1.355182004148048,1.1061017860274567,6,4,7,0.25408071835069984,0.35849336706358054
119,LAD,Los Angeles Dodgers,59,33,26,0.559322033898305,0.5982799002447502,-0.5876,0.5982799002447502,0.010679900244750164,0.010140337292283901,0.000181015258385596,1.4194713449273753,0.2952436650758219,10,4,6,0.20022732514508929,0.3980525750996609
116,DET,Detroit Tigers,58,35,23,0.603448275862069,0.5328148900976805,-0.5198,0.5328148900976805,0.013014890097680372,0.0091864636223738,0.00022439465685655813,1.1466093808552118,0.21565506458555886,11,5,6,0.37056396620322524,0.1622509238944552
139,TB,Tampa Bay Rays,67,36,31,0.5373134328358209,0.5038267133882187,-0.7006000000000001,0.5038267133882187,-0.19677328661178134,0.007519801692361473,-0.002936914725548975,1.2730129824330685,-1.8560347341870806,4,1,10,0.1249843063554894,0.3788424070327293
147,NYY,New York Yankees,75,38,37,0.5066666666666667,0.5027030160077843,-0.8362,0.5027030160077843,-0.3334969839922157,0.006702706880103791,-0.004446626453229543,1.0835484221092828,-3.0669861955535334,7,2,13,0.3423921396402527,0.16031087636753166
112,CHC,Chicago Cubs,61,36,25,0.5901639344262295,0.4953698045769663,-0.5650000000000001,0.4953698045769663,-0.0696301954230338,0.008120816468474857,-0.0011414786134923572,1.2200798049964334,2.170329279656817,9,4,5,0.08475472316179797,0.4106150814151683
113,CIN,Cincinnati Reds,50,30,20,0.6,0.49245725179260275,-0.45200000000000007,0.49245725179260275,0.04045725179260269,0.009849145035852054,0.0008091450358520538,1.080230628733656,1.2839456007720564,10,4,5,0.22092478710636598,0.27153246468623676
158,MIL,Milwaukee Brewers,68,34,34,0.5,0.4692078753579636,-0.7684000000000001,0.4692078753579636,-0.29919212464203643,0.0069001158140877,-0.0043998841859123,1.4481384629700935,-3.326476157529261,4,2,11,0.10965537535822631,0.3595524999997373
109,AZ,Arizona Diamondbacks,50,32,18,0.64,0.45841876162857426,-0.40680000000000005,0.45841876162857426,0.05161876162857421,0.009168375232571486,0.0010323752325714843,0.9272805799889958,1.0853018246123665,5,2,6,0.22447529781980444,0.23394346380876982
140,TEX,Texas Rangers,46,25,21,0.5434782608695652,0.45018383144262164,-0.4746,0.45018383144262164,-0.024416168557378402,0.00978660503136134,-0.000530786272986487,1.0112674477168262,-0.38612384882243295,12,2,3,0.252395386500632,0.19778844494198966
134,PIT,Pittsburgh Pirates,63,31,32,0.49206349206349204,0.43976502093665804,-0.7232000000000001,0.43976502093665804,-0.28343497906334203,0.006980397157724731,-0.0044989679216403495,1.4130630135292004,-1.8137367707009642,9,4,10,0.2309028814056067,0.20886213953105132
121,NYM,New York Mets,57,34,23,0.5964912280701754,0.4262718529073057,-0.5198,0.4262718529073057,-0.09352814709269434,0.007478453559777293,-0.001640844685836743,0.8402821788494284,-0.13688336426702905,6,3,5,0.1684895148652541,0.2577823380420516
117,HOU,Houston Astros,68,35,33,0.5147058823529411,0.4172694228010936,-0.7458,0.4172694228010936,-0.3285305771989065,0.006136315041192553,-0.004831332017630978,1.2639294728877182,-2.4930504618097,7,1,9,0.18449536553749404,0.23277405726359957
137,SF,San Francisco Giants,60,26,34,0.43333333333333335,0.40330538164376906,-0.7684000000000001,0.40330538164376906,-0.36509461835623097,0.006721756360729484,-0.0060849103059371825,1.1201882257813964,-3.3982092625179967,7,2,12,0.18519861126136294,0.2181067703824061
111,BOS,Boston Red Sox,36,18,18,0.5,0.3736023666164555,-0.40680000000000005,0.3736023666164555,-0.03319763338354452,0.010377843517123765,-0.0009221564828762366,0.7356259948565623,0.5547128938296018,8,3,3,0.19999285968640643,0.1736095069300491
120,WSH,Washington Nationals,54,21,33,0.3888888888888889,0.29255845786081014,-0.7458,0.29255845786081014,-0.4532415421391899,0.005417749219644632,-0.008393361891466479,0.8878846876452411,-4.362937107521789,5,0,11,0.08442841840795079,0.20813003945285938
