challenge_team_id,challenge_team_abbr,challenge_side,attempts,overturns,confirms,overturn_rate,direct_wpa,option_wpa_proxy,total_xwpa,risk_adjusted_xwpa,xwpa_per_challenge,risk_adjusted_per_challenge,wpa_if_overturned,savant_challenge_runs,strikeout_flips,walk_flips,exhausting_fails
145,CWS,fielding,51,22,29,0.43137254901960786,0.7776039237537186,-0.6554000000000001,0.7776039237537186,0.1222039237537185,0.015247135759876835,0.0023961553677199704,1.374974871662086,-0.19889707978260257,5,4,10
115,COL,fielding,48,32,16,0.6666666666666666,0.7645920913669448,-0.36160000000000003,0.7645920913669448,0.4029920913669448,0.015929001903478016,0.008395668570144683,1.055079665275003,3.572087624281588,13,6,3
133,ATH,fielding,41,22,19,0.5365853658536586,0.638641563451711,-0.42940000000000006,0.638641563451711,0.2092415634517109,0.01557662349882222,0.0051034527671149,0.9681256085843097,0.8074443568279919,7,5,8
146,MIA,fielding,59,36,23,0.6101694915254238,0.5539392528439507,-0.5198,0.5539392528439507,0.03413925284395065,0.009388800895660182,0.0005786314041347567,1.0330679315084559,0.16621118067206636,4,2,6
138,STL,fielding,35,23,12,0.6571428571428571,0.5526703053898456,-0.2712,0.5526703053898456,0.28147030538984563,0.01579058015399559,0.008042008725424162,0.8399920376620675,2.7208919439454777,7,6,3
142,MIN,fielding,42,27,15,0.6428571428571429,0.5371011879535998,-0.339,0.5371011879535998,0.19810118795359982,0.012788123522704758,0.004716694951276186,0.8116263992843394,2.045821264111234,13,1,4
108,LAA,fielding,38,26,12,0.6842105263157895,0.5182975407401912,-0.2712,0.5182975407401912,0.2470975407401912,0.013639408966847136,0.006502566861583979,0.834753908945138,2.621527202757611,3,3,2
136,SEA,fielding,37,25,12,0.6756756756756757,0.472801919876642,-0.2712,0.472801919876642,0.20160191987664194,0.01277843026693627,0.005448700537206539,0.8078791960082148,2.638158359403748,7,1,5
143,PHI,fielding,28,16,12,0.5714285714285714,0.4632908934269265,-0.2712,0.4632908934269265,0.19209089342692645,0.016546103336675947,0.006860389050961659,0.7089891199268169,2.2579618417873317,4,6,1
112,CHC,fielding,34,24,10,0.7058823529411765,0.4580103034879505,-0.22600000000000003,0.4580103034879505,0.23201030348795051,0.013470891279057368,0.006823832455527957,0.6153446605323841,3.3401520136549423,6,2,2
119,LAD,fielding,38,24,14,0.631578947368421,0.424646371145193,-0.3164,0.424646371145193,0.10824637114519296,0.011174904503820868,0.0028485887143471834,0.8628316012174277,0.5373832554860243,6,2,2
118,KC,fielding,38,22,16,0.5789473684210527,0.4178624203420172,-0.36160000000000003,0.4178624203420172,0.05626242034201718,0.010996379482684664,0.001480590009000452,0.916084174521674,0.7954805371661348,3,3,3
135,SD,fielding,41,27,14,0.6585365853658537,0.39903646728042136,-0.3164,0.39903646728042136,0.08263646728042134,0.009732596762937105,0.002015523592205399,0.754557076920829,1.164606559597563,7,2,3
110,BAL,batting,37,18,19,0.4864864864864865,0.39679206230491854,-0.42940000000000006,0.39679206230491854,-0.03260793769508153,0.010724109792024825,-0.0008812956133805819,0.7985824173932884,0.23771718652549695,6,4,7
108,LAA,batting,39,16,23,0.41025641025641024,0.39622361889056795,-0.5198,0.39622361889056795,-0.12357638110943212,0.010159579971553024,-0.0031686251566521054,0.812071737890569,-1.2066302477629225,7,5,8
139,TB,fielding,41,24,17,0.5853658536585366,0.3946766363108963,-0.38420000000000004,0.3946766363108963,0.010476636310896244,0.009626259422216982,0.0002555277148999084,0.5928268234294729,-0.5417248539846196,3,1,6
144,ATL,batting,36,14,22,0.3888888888888889,0.3767344505337346,-0.49720000000000003,0.3767344505337346,-0.12046554946626545,0.010464845848159295,-0.003346265262951818,0.8100502938237014,-1.8683959681937568,6,3,8
158,MIL,fielding,43,26,17,0.6046511627906976,0.3749173825484615,-0.38420000000000004,0.3749173825484615,-0.009282617451538508,0.008719008896475849,-0.0002158748244543839,0.9809277979409647,-0.3331403856211148,3,1,7
114,CLE,fielding,29,15,14,0.5172413793103449,0.3632744293701413,-0.3164,0.3632744293701413,0.04687442937014129,0.012526704461039356,0.001616359633453148,0.676546776898137,0.07546453858022495,7,2,4
136,SEA,batting,33,16,17,0.48484848484848486,0.3577467052477763,-0.38420000000000004,0.3577467052477763,-0.026453294752223723,0.010840809249932614,-0.0008016149924916279,0.7654388545048393,-0.8776271741885291,6,4,3
