role,player_id,player_name,team_id,team_abbr,challenges_against,failed_challenges_against,overturned_challenges_against,failed_challenges_against_rate,fooled_xwpa,fooled_xwpa_per_challenge_against,failed_against_wpa_at_stake,opponent_success_xwpa,failed_strikeout_challenges_against,failed_reasonable_challenges_against
catcher_against,663728,Cal Raleigh,136,SEA,21,18,3,0.8571428571428571,0.40680000000000005,0.019371428571428574,0.36268095813654766,0.028626262472974395,7,4
catcher_against,673237,Yainer Diaz,117,HOU,23,15,8,0.6521739130434783,0.339,0.01473913043478261,0.3589720173588574,0.14811156842481238,5,6
catcher_against,681351,Logan O'Hoppe,108,LAA,23,15,8,0.6521739130434783,0.339,0.01473913043478261,0.2354321351301591,0.19878857709025263,6,5
catcher_against,680779,Henry Davis,134,PIT,20,14,6,0.7,0.3164,0.01582,0.49971026733558843,0.06336987643398986,7,6
catcher_against,663743,Nick Fortes,139,TB,20,13,7,0.65,0.2938,0.01469,0.3959796475158688,0.14160151112787508,3,3
catcher_against,521692,Salvador Perez,118,KC,23,13,10,0.5652173913043478,0.2938,0.01277391304347826,0.35297872920261775,0.13836976947190321,8,6
catcher_against,689414,Liam Hicks,146,MIA,17,12,5,0.7058823529411765,0.2712,0.015952941176470586,0.18941402046038167,0.03351507429039474,3,5
catcher_against,663886,Tyler Stephenson,113,CIN,19,12,7,0.631578947368421,0.2712,0.014273684210526315,0.4096448796628889,0.10614584760540499,4,4
catcher_against,693307,Dillon Dingler,116,DET,21,12,9,0.5714285714285714,0.2712,0.012914285714285715,0.3062212051545831,0.19371181132242327,6,7
catcher_against,686780,Pedro Pages,138,STL,16,11,5,0.6875,0.24860000000000002,0.015537500000000001,0.33458757000416617,0.09465384893138758,4,5
catcher_against,608348,Carson Kelly,112,CHC,19,11,8,0.5789473684210527,0.24860000000000002,0.01308421052631579,0.1591570209822856,0.2324700221297284,6,5
catcher_against,665561,Rafael Marchan,143,PHI,17,10,7,0.5882352941176471,0.22600000000000003,0.013294117647058826,0.3785653389998908,0.10153208701182764,5,6
catcher_against,543510,James McCann,109,AZ,17,10,7,0.5882352941176471,0.22600000000000003,0.013294117647058826,0.3534102200622511,0.16840686537486654,6,5
catcher_against,680777,Ryan Jeffers,142,MIN,18,10,8,0.5555555555555556,0.22600000000000003,0.012555555555555558,0.2945220553395277,0.07616758403483334,2,2
catcher_against,661388,William Contreras,158,MIL,18,10,8,0.5555555555555556,0.22600000000000003,0.012555555555555558,0.23662580722891444,0.12480187290878055,4,2
catcher_against,700337,Edgar Quero,145,CWS,19,10,9,0.5263157894736842,0.22600000000000003,0.011894736842105265,0.1803257904167285,0.07862605064450039,4,4
catcher_against,669224,Austin Wells,147,NYY,27,10,17,0.37037037037037035,0.22600000000000003,0.008370370370370372,0.22111407008170397,0.31109395931739103,7,5
catcher_against,663698,Joey Bart,134,PIT,10,9,1,0.9,0.20340000000000003,0.020340000000000004,0.22118460010402427,0.08487438810459069,4,4
catcher_against,694212,Samuel Basallo,110,BAL,14,9,5,0.6428571428571429,0.20340000000000003,0.01452857142857143,0.47264049606853953,0.07101285360264052,6,4
catcher_against,669257,Will Smith,119,LAD,15,9,6,0.6,0.20340000000000003,0.013560000000000001,0.17259841194291237,0.09297283842203363,2,3
catcher_against,664954,Brett Sullivan,115,COL,16,9,7,0.5625,0.20340000000000003,0.012712500000000002,0.15085901704495586,0.15683932044568816,3,2
catcher_against,669134,Luis Campusano,135,SD,16,9,7,0.5625,0.20340000000000003,0.012712500000000002,0.19292697821726587,0.2402902677892509,5,2
catcher_against,665966,Carlos Narvaez,111,BOS,25,9,16,0.36,0.20340000000000003,0.008136000000000001,0.14439898045965727,0.28960015823155993,2,3
